Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
,Il castello in aria,Diana Wynne Jones,,,8874711069,9788874711062,,,Kappa Edizioni,Paperback,202,2007/01,,,,to-read,,to-read,,,,0,0
,Il castello errante di Howl,Diana Wynne Jones,,,887471095X,9788874710959,,,Kappa Edizioni,Paperback,245,2005/07/28,,,,to-read,,to-read,,,,0,0
,Nel paese delle creature selvagge. La storia con le immagini del film,,,,8804593946,9788804593942,,,Mondadori,Paperback,48,2009/10/13,,,,to-read,,to-read,,,,0,0
,Honky Tonk Samurai,Joe R. Lansdale,,,031632938X,9780316329385,4,,Mulholland,eBook,340,2016/01/01,,,,read,,read,"Le vette delle avventure migliori di Hap e Leo rimangono lontane ma è sempre una lettura gradevolissima e nel complesso l'ho trovato più riuscito dei due o tre precedenti. Inoltre, tutta la faccenda di Chance e il finale sono roba da occhi sudati e malinconia maschia scrutando il tramonto con intensità. Insomma, bello. ",,,1,1
,48 poesie,Fernando Pessoa,,,8804436131,9788804436133,,,"Arnoldo Mondadori (I miti poesia, 47)",Paperback,64,1997/11/01,,,,to-read,,to-read,,,,0,0
,La guerra civile fredda,Daniele Luttazzi,,,8807702134,9788807702136,,,Feltrinelli,Paperback,238,2009/06/12,,,,to-read,,to-read,,,,0,0
,Dracula,Bram Stoker,,,887983021X,9788879830218,5,,Newton Compton Editori,Mass Market Paperback,336,1993/01,,,,to-read,,to-read,,,,0,0
,Liberazione animale,Peter Singer,,,8856501805,9788856501803,,,Il Saggiatore,Paperback,308,2010/04/22,,,,to-read,,to-read,,,,0,0
,La mia eredità sono io,Indro Montanelli,,,881702631X,9788817026314,,,Rizzoli,Paperback,644,2008/11/12,,,,to-read,,to-read,,,,0,0
,La metà oscura,Stephen King,,,882000982X,9788820009823,3,,Sperling & Kupfer,Hardcover,480,1992/01/07,,,,to-read,,to-read,,,,0,0
,L'incendiaria,Stephen King,,,887824418X,9788878244184,3,,Sperling & Kupfer,Mass Market Paperback,416,1994/06/14,,,,to-read,,to-read,,,,0,0
,Pet Sematary,Stephen King,,,8878240303,9788878240308,3,,Sperling & Kupfer,Mass Market Paperback,424,1989/03/13,,,,to-read,,to-read,,,,0,0
,Dolores Claiborne,Stephen King,,,8820016680,9788820016685,3,,Sperling & Kupfer,Hardcover,288,1994/01/01,,,,to-read,,to-read,,,,0,0
,Roger Ebert's Four-Star Reviews 1967-2007,Roger Ebert,,,0740771795,9780740771798,5,,Andrews McMeel Publishing,Paperback,944,2008/02/01,,,,to-read,,to-read,,,,0,0
,Giorno da cani,Alicia Gimenez-Bartlett,,,8838916128,9788838916120,,,Sellerio Editore Palermo,Paperback,416,2000/06/23,,,,to-read,,to-read,,,,0,0
,Scudetti col verme,Alessandro Arrighi,,,8879531719,9788879531719,,,Kaos,Paperback,187,2007/01/31,,,,to-read,,to-read,,,,0,0
,John Carpenter,Giuseppe Gariazzo,,,8879400215,9788879400213,,,Stefano Sorbini Editore,Paperback,160,1995/02/01,,,,to-read,,to-read,,,,0,0
,David Cronenberg,Fabrizio Liberti,,,8879400207,9788879400206,,,Stefano Sorbini Editore,Paperback,160,1995/03/01,,,,to-read,,to-read,,,,0,0
,Kathryn Bigelow,,,,8886883064,9788886883061,,,Stefano Sorbini editore,Others,160,1997/01/01,,,,to-read,,to-read,,,,0,0
,Michael Mann,Pier Maria Bocchi,,,8880332317,9788880332312,,,Il Castoro,Paperback,140,2002/07/01,,,,to-read,,to-read,,,,0,0
,Joel e Ethan Coen,Vincenzo Buccheri,,,888033140X,9788880331407,,,Il Castoro,Paperback,160,1999/03/01,,,,to-read,,to-read,,,,0,0
,100 grandi ricette per la pasta,M. Chiara Martinelli,,,8876057587,9788876057588,,,Gremese Editore,Paperback,128,1993/08,,,,to-read,,to-read,,,,0,0
,Dante's Equation,Jane Jensen,,,1841493066,9781841493060,3,,Orbit,Paperback,704,2004/08/05,,,,read,,read,,,,1,1
,In fondo alla palude,Joe R. Lansdale,,,8834711327,9788834711323,3,,Fanucci,Paperback,319,2005/01/01,,,,to-read,,to-read,,,,0,0
,La notte dei desideri,Michael Ende,,,8877821574,9788877821577,3,,Salani,Hardcover,256,1990/10/09,,,,to-read,,to-read,,,,0,0
,Pagati per giocare,Alice Rush,,"Bryan Stratton, David Hodgson",8889164360,9788889164365,3,,Multiplayer Edizioni,Paperback,263,2007/04/01,,,,read,,read,,,,1,1
,Io speriamo che me la cavo,,,,8804332018,9788804332015,3,,Mondadori,Hardcover,144,1990/02/01,,,,to-read,,to-read,,,,0,0
,画集ベルセルク,三浦 建太郎,,,4592731387,9784592731382,3,,白泉社,Paperback,130,1997/02/01,,,,to-read,,to-read,,,,0,0
,"The Art of Star Wars, Episode IV - A New Hope",Carol Titelman,,,0345409809,9780345409805,4,,Del Rey,Paperback,192,1997/01/14,,,,to-read,,to-read,,,,0,0
,Batman Returns,Michael Singer,,,0553370308,9780553370300,4,,Bantam,Paperback,80,1992/06/01,,,,to-read,,to-read,,,,0,0
,Il grande libro del pesce,Giuliana Bonomo,,,8804324740,9788804324744,,,Mondadori Electa,Others,320,1989/11/06,,,,to-read,,to-read,,,,0,0
,Il mio primo database,John V. Petersen,,,8883313984,9788883313981,,,Mondadori Informatica,Others,320,2002/07,,,,to-read,,to-read,,,,0,0
,In cucina con Friends,Amy L. Wilson,,,8882901882,9788882901882,,,Franco Cosimo Panini,Hardcover,134,2000/12,,,,to-read,,to-read,,,,0,0
,Cuisine du Maroc,C. Razika,,,2845671318,9782845671317,,,Tana,Others,1,2003/05/22,,,,to-read,,to-read,,,,0,0
,Clausura,Espedita Fisher,,,8876151753,9788876151750,,,Castelvecchi,Paperback,260,2007/03/05,,,,to-read,,to-read,,,,0,0
,E l'alluce fu,Roberto Benigni,,,8804436115,9788804436119,,,Arnoldo Mondadori Editore,Paperback,190,1996/01/01,,,,to-read,,to-read,,,,0,0
,Attentato alla corte d'Inghilterra,Tom Clancy,,,8817210455,9788817210454,3,,Rizzoli,Others,544,1998/02,,,,to-read,,to-read,,,,0,0
,Il diavolo,Alfonso Maria Di Nola,,,8879835084,9788879835084,3,,Newton Compton Editori,Others,416,1994/08,,,,to-read,,to-read,,,,0,0
,Vampiri: La Masquerade,Hatch Robert,,,8882880486,9788882880484,4,,Twenty Five Edition,Hardcover,304,2002/01/01,,,,to-read,,to-read,,,,0,0
,Jonathan Strange & il signor Norrell,Susanna Clarke,,,8830421324,9788830421325,3,,Longanesi,Hardcover,887,2005/09/29,,,,to-read,,to-read,,,,0,0
,Libro dei sogni,Caterina Kolosimo,,,8845403343,9788845403347,3,,Sonzogno,Others,,1994/01,,,,to-read,,to-read,,,,0,0
,"Marvel Super Heroes, Advanced Set/Game",Jeff Grubb,,,0880383682,9780880383684,3,,TSR,Hardcover,210,1986/07/01,,,,to-read,,to-read,,,,0,0
,L'enciclopedia dei misteri,,,,8804371633,9788804371632,3,,Mondadori,Others,400,1994/01,,,,to-read,,to-read,,,,0,0
,The Discworld Mapp,Stephen Briggs,,Terry Pratchett,0552143243,9780552143240,4,,Corgi,Softcover,369,1995/01/01,,,,to-read,,to-read,,,,0,0
,Gatti,Howard Loxton,,,8811939593,9788811939597,3,,Vallardi A.,Paperback,240,1989/06,,,,to-read,,to-read,,,,0,0
,Introduzione alla storia contemporanea,,,,8815109609,9788815109606,3,,Il Mulino,Paperback,401,2006/02/23,,,,to-read,,to-read,,,,0,0
,Il libro dei fatti - 1997,,,,8871180380,9788871180380,3,,Adnkronos Libri,Paperback,928,1997/01/01,,,,to-read,,to-read,,,,0,0
,Il lato oscuro dell'anima,Joe R. Lansdale,,,8834710827,9788834710821,3,,Fanucci,Paperback,287,2005/01/01,,,,to-read,,to-read,,,,0,0
,Aerosmith,,,,8879660373,9788879660372,1,,Arcana,Others,264,2001/01/19,,,,to-read,,to-read,,,,0,0
,Super English,Renato Proni,,,8871980050,9788871980058,3,,SugarCo,Mass Market Paperback,256,1990/06,,,,to-read,,to-read,,,,0,0
,Marvel Super Heroes,Jeff Grubb,,,1560760877,9781560760870,3,,TSR,Hardcover,210,1991/05/01,,,,to-read,,to-read,,,,0,0
,Mini Galateo,Massimo Camola,,,8871001877,9788871001876,3,,La Spiga-Meravigli,Boxset,240,1991/01,,,,to-read,,to-read,,,,0,0
,Enciclopedia dei mostri giapponesi,水木 しげる,,,8887497400,9788887497403,4,,Kappa Edizioni,Paperback,253,2004/02,,,,to-read,,to-read,,,,0,0
,Lonely Planet - Giappone,,,,8870638766,9788870638769,4,,Lonely Planet Italia,Paperback,908,2006/04/27,,,,to-read,,to-read,,,,0,0
,Le prove d'intelligenza,H.J. Eysenck,,,8817132217,9788817132213,3,,Biblioteca Universale Rizzoli,Paperback,229,1984/06/01,,,,to-read,,to-read,,,,0,0
,"The Rough Guide to Tokyo, Third Edition",Simon Richmond,,Jan Dodd,1843532778,9781843532774,5,,Rough Guides,Paperback,272,2005/03/21,,,,to-read,,to-read,,,,0,0
,"The Rough Guide to Japan, Third Edition",Neil Roland,,,1843532727,9781843532729,5,,Rough Guides,Paperback,1056,2005/01/27,,,,to-read,,to-read,,,,0,0
,The Rough Guide to China 4,Jeremy/ Foster,,"Simon/ Atiyah, David/ Lewis, Leffman, Simon Singh, Simon Foster, Jeremy Atiyah, Simon Lewis, David Leffman",1843534797,9781843534792,5,,Rough Guides,Paperback,1272,2005/11/21,,,,to-read,,to-read,,,,0,0
,Il talento di Mr. Ripley,Patricia Highsmith,,,8845248666,9788845248665,3,,Bompiani,Paperback,295,2001/07/04,,,,to-read,,to-read,,,,0,0
,Guida galattica per gli autostoppisti,Douglas Adams,,,8804472782,9788804472780,5,,Mondadori,Hardcover,650,2000/06/01,,,,to-read,,to-read,,,,0,0
,Savage Season,Joe R. Lansdale,,,0753814382,9780753814383,5,,Phoenix (an Imprint of The Orion Publishing Group Ltd ),Paperback,320,2001/07/05,,,,to-read,,to-read,,,,0,0
,A sangue freddo,Truman Capote,,,8811666880,9788811666882,4,,Garzanti,Mass Market Paperback,396,1991/06,,,,to-read,,to-read,,,,0,0
,Le corna del diavolo,Carlo Petrini,,,8879531549,9788879531542,3,,Kaos,Paperback,291,2006/03/01,,,,to-read,,to-read,,,,0,0
,Il Giappone a colpo d'occhio,,,,8874711212,9788874711215,4,,Kappa Edizioni,Paperback,231,2006/09/14,,,,to-read,,to-read,,,,0,0
,Il mambo degli orsi,Joe R. Lansdale,,,8806172522,9788806172527,4,,Einaudi,Paperback,305,2004/10/26,,,,to-read,,to-read,,,,0,0
,X-Terminate ,Dale Henson,,,1560760664,9781560760665,3,,TSR,Paperback,210,1991/06/01,,,,to-read,,to-read,,,,0,0
,La saga di Elric di Melniboné,Michael Moorcock,,,8842909998,9788842909996,3,,Nord (Narrativa Nord 98),Paperback,848,1997/11/01,,,,to-read,,to-read,,,,0,0
,Werther,Edouard Blau,,"Paul Milliet, Georges Hartmann",8887318107,9788887318104,3,,Casa Musicale Sonzogno,Mass Market Paperback,52,2000/09,,,,to-read,,to-read,,,,0,0
,Il giovane Holden,J.D. Salinger,,,8496075087,9788496075085,3,,Gruppo Editoriale L'Espresso,Hardcover,238,2002/01/01,,,,to-read,,to-read,,,,0,0
,Poesie d'amore,Pablo Neruda,,,8879838970,9788879838979,3,,Newton Compton Editori,Hardcover,208,1992/10,,,,to-read,,to-read,,,,0,0
,Amrita,Banana Yoshimoto,,,8807700905,9788807700903,4,,Feltrinelli,Paperback,312,1998/02/09,,,,to-read,,to-read,,,,0,0
,Bubba Ho-Tep,Joe R. Lansdale,,,8887913404,9788887913408,4,,Magenes,Paperback,96,2004/03/01,,,,to-read,,to-read,,,,0,0
,Tramonto e polvere,Joe R. Lansdale,,,8806169556,9788806169558,4,,Einaudi,Paperback,372,2005/04/05,,,,to-read,,to-read,,,,0,0
,...E venne chiamata Due Cuori,Marlo Morgan,,,8845407039,9788845407031,4,,Sonzogno,Hardcover,222,1994/10/19,,,,to-read,,to-read,,,,0,0
,Mucho mojo,Joe R. Lansdale,,,8845227901,9788845227905,4,,Bompiani,Others,270,1996/07/01,,,,to-read,,to-read,,,,0,0
,La Macchina del Tempo - L'isola del dottor Moreau - L'uomo Invisibile,H.G. Wells,,,8804337516,9788804337515,3,,Mondadori,Paperback,436,1990/09/01,,,,to-read,,to-read,,,,0,0
,Poesie d'amore,Hermann Hesse,,,887983293X,9788879832939,3,,Newton Compton Editori,Hardcover,192,1995/01,,,,to-read,,to-read,,,,0,0
,Atto d'amore,Joe R. Lansdale,,,8834710185,9788834710180,3,,Fanucci,Paperback,254,2004/01/01,,,,to-read,,to-read,,,,0,0
,Bad Chili,Joe R. Lansdale,,,8806164384,9788806164386,5,,Einaudi,Paperback,262,2003/04/15,,,,to-read,,to-read,,,,0,0
,Il momento di uccidere,John Grisham,,,8804363762,9788804363767,3,,Mondadori,Paperback,528,1994/11/02,,,,to-read,,to-read,,,,0,0
,Fiabe e storie cinesi,Moss Roberts,,,8885008992,9788885008991,,,Arcana,Paperback,280,2001/01/16,,,,to-read,,to-read,,,,0,0
,Dodici atti impuri,Stefano Disegni,,,8804434783,9788804434788,3,,Mondadori,Others,,1997/08,,,,to-read,,to-read,,,,0,0
,The Last Season,Phil Jackson,,,1594200351,9781594200359,4,,The Penguin Press,Hardcover,304,2004/10/01,,,,to-read,,to-read,,,,0,0
,Viaggio allucinante,Isaac Asimov,,,8804376562,9788804376569,3,,Mondadori,Paperback,224,1993/11/23,,,,to-read,,to-read,,,,0,0
,Psycho,Robert Bloch,,,8804401184,9788804401186,3,,Mondadori,Others,,1995/02,,,,to-read,,to-read,,,,0,0
,La città dei vampiri,Simon Clark,,,8882896714,9788882896713,3,,Newton Compton Editori,Hardcover,368,2007/01/01,,,,to-read,,to-read,,,,0,0
,Cavallo Pazzo,Larry McMurtry,,,8804516399,9788804516392,4,,Mondadori,Paperback,126,2003/04/29,,,,to-read,,to-read,,,,0,0
,La regina dei dannati,Anne Rice,,,8877823690,9788877823694,3,,Salani,Others,514,1995/09/15,,,,to-read,,to-read,,,,0,0
,Processo alla Juventus per frode sportiva,,,,8879531409,9788879531405,3,,Kaos,Paperback,346,2004/10/27,,,,to-read,,to-read,,,,0,0
,Il rapporto Pelican,John Grisham,,,8804373865,9788804373865,3,,Mondadori,Paperback,406,1993/08/31,,,,to-read,,to-read,,,,0,0
,La legge di Murphy del 2000,Arthur Bloch,,,8830416924,9788830416925,1,,Longanesi,Paperback,208,1999/11/19,,,,to-read,,to-read,,,,0,0
,Trainspotting,Irvine Welsh,,,887746934X,9788877469342,4,,Guanda,Mass Market Paperback,372,1997/08/01,,,,to-read,,to-read,,,,0,0
,Il senso di Smilla per la neve,Peter Høeg,,,8804384387,9788804384380,2,,Mondadori,Hardcover,456,1994/09/13,,,,to-read,,to-read,,,,0,0
,Guerre Stellari: Il discepolo del lato oscuro,Kevin J. Anderson,,,8820023105,9788820023102,3,,Sperling & Kupfer,Paperback,304,1996/11/01,,,,to-read,,to-read,,,,0,0
,Bla bla bla,Giuseppe Culicchia,,,8811620279,9788811620273,4,,Garzanti,Softcover,132,1997/04,,,,to-read,,to-read,,,,0,0
,"Apologia di Socrate­, Critone­, Fedone­, Il convito",Platone,,,8811581354,9788811581352,4,,Garzanti,Paperback,272,1975/01,,,,to-read,,to-read,,,,0,0
,Più di un gioco,Charley Rosen,,Phil Jackson,8884906474,9788884906472,3,,Dalai Editore,Paperback,390,2004/10/19,,,,to-read,,to-read,,,,0,0
,Le anime disegnate,Luca Raffaelli,,,8886232233,9788886232234,3,,Castelvecchi,Others,190,2003/07/01,,,,to-read,,to-read,,,,0,0
,Il maestro e Margherita,Michail Bulgakov,,,8806142291,9788806142292,4,,Einaudi (Einaudi Tascabili),Paperback,390,1996/10/01,,,,to-read,,to-read,,,,0,0
,Toro Seduto,Robert M. Utley,,,8804480599,9788804480594,3,,Mondadori,Others,468,2000/01/01,,,,to-read,,to-read,,,,0,0
,Tutti giù per terra,Giuseppe Culicchia,,,8811667577,9788811667575,3,,Garzanti,Others,136,1996/04/18,,,,to-read,,to-read,,,,0,0
,Dalia nera,James Ellroy,,,880435030X,9788804350309,5,,Mondadori,Others,376,1995/09/12,,,,to-read,,to-read,,,,0,0
,Tre,Tiziano Sclavi,,,8877670266,9788877670267,3,,Camunia,Others,184,1988/12,,,,to-read,,to-read,,,,0,0
,Lettere a Lupo Alberto,,,,8886232713,9788886232715,3,,Castelvecchi,Others,146,1996/09,,,,to-read,,to-read,,,,0,0
,Jack Frusciante è uscito dal gruppo,Enrico Brizzi,,,8880891901,9788880891901,3,,Dalai Editore,Mass Market Paperback,176,1997/01/15,,,,to-read,,to-read,,,,0,0
,Guerre stellari: Sulle orme dei cavalieri Jedi,Kevin J. Anderson,,,8820022036,9788820022037,3,,Sperling & Kupfer,Softcover,306,1996/09,,,,to-read,,to-read,,,,0,0
,Senza maglia e senza bandiera,Carlo Petrini,,,8879531360,9788879531368,3,,Kaos,Paperback,221,2004/09/08,,,,to-read,,to-read,,,,0,0
,La fisica di Star Trek,Lawrence M. Krauss,,,8830413909,9788830413900,3,,Longanesi,Paperback,224,1996/10/10,,,,to-read,,to-read,,,,0,0
,La notte che bruciammo Chrome,William Gibson,,,8804408715,9788804408710,3,,Mondadori,Others,,1995/08,,,,to-read,,to-read,,,,0,0
,Il lungo addio,Raymond Chandler,,,8807811774,9788807811777,5,,Feltrinelli,Paperback,320,2009/02/02,,,,to-read,,to-read,,,,0,0
,Guerre Stellari: I campioni della Forza,Kevin J. Anderson,,,8820025418,9788820025410,3,,Sperling & Kupfer,Paperback,282,1997/01,,,,to-read,,to-read,,,,0,0
,C'era due volte il barone Lamberto,Gianni Rodari,,,8806015788,9788806015787,3,,Einaudi,Paperback,103,1997/01/01,,,,to-read,,to-read,,,,0,0
,Nel fango del dio pallone,Carlo Petrini,,,8879530887,9788879530880,3,,Kaos,Paperback,192,2000/01/19,,,,to-read,,to-read,,,,0,0
,"Se questo mondo vi sembra spietato, dovreste vedere cosa sono gli altri",Philip K. Dick,,,8876412883,9788876412882,4,,E/O,Others,80,1996/07,,,,to-read,,to-read,,,,0,0
,Lucky Luciano,Mezzala Destra,,Ala Sinistra,8879531271,9788879531276,3,,Kaos,Paperback,215,2003/10/21,,,,to-read,,to-read,,,,0,0
,Il calcio in farmacia,Mauro Barletta,,,8871805542,9788871805542,3,,Lindau,Paperback,256,2005/01/01,,,,to-read,,to-read,,,,0,0
,Il calciatore suicidato,Carlo Petrini,,,8879531026,9788879531023,3,,Kaos,Paperback,148,2001/09/13,,,,to-read,,to-read,,,,0,0
,Guerre stellari: La stella di cristallo,Vonda N. McIntyre,,,8878247030,9788878247031,3,,Sperling & Kupfer,Others,368,1996/01,,,,to-read,,to-read,,,,0,0
,Il diario di Bridget Jones,Helen Fielding,,,884541096X,9788845410963,3,,Sonzogno,Hardcover,320,1998/04/08,,,,to-read,,to-read,,,,0,0
,L'occhio del male,Stephen King,,,8882740579,9788882740573,3,,Sperling & Kupfer,Mass Market Paperback,320,2000/03,,,,to-read,,to-read,,,,0,0
,Microservi,Douglas Coupland,,,8807815028,9788807815027,3,,Feltrinelli,Mass Market Paperback,432,1998/04/27,,,,to-read,,to-read,,,,0,0
,Ring,Koji Suzuki,,,8846204530,9788846204530,3,,RL Libri,Mass Market Paperback,320,2005/03/02,,,,to-read,,to-read,,,,0,0
,Guerre stellari: La tregua di Bakura,Kathy Tyers,,,8878246107,9788878246102,3,,Sperling & Kupfer,Others,386,1996/08,,,,to-read,,to-read,,,,0,0
,Schiavi dell'inferno,Clive Barker,,,8845221342,9788845221347,4,,Bompiani,Mass Market Paperback,128,1993/01/01,,,,to-read,,to-read,,,,0,0
,Cabal,Clive Barker,,,8845224252,9788845224256,4,,Bompiani,Paperback,458,1994/12/01,,,,to-read,,to-read,,,,0,0
,American Psycho,Bret Easton Ellis,,,8845219720,9788845219726,4,,"Bompiani (I grandi tascabili, 248)",Mass Market Paperback,444,1993/01/01,,,,to-read,,to-read,,,,0,0
,Sudario,Clive Barker,,,8845220133,9788845220135,4,,Bompiani,Paperback,240,1993/01/01,,,,to-read,,to-read,,,,0,0
,Ectoplasm,Clive Barker,,,8845217256,9788845217258,4,,Bompiani,Paperback,203,1991/04/01,,,,to-read,,to-read,,,,0,0
,Il cliente,John Grisham,,,8804400102,9788804400103,3,,Mondadori,Paperback,476,1995/05/02,,,,to-read,,to-read,,,,0,0
,Sonno profondo,Banana Yoshimoto,,,8807700476,9788807700477,3,,Feltrinelli,Paperback,144,1994/11/14,,,,to-read,,to-read,,,,0,0
,Una giornata di Ivan Denisovic. ­La casa di Matrjona­. Alla stazione,Aleksandr Solzenicyn,,,880631260X,9788806312602,3,,Einaudi,Others,307,1972/01,,,,to-read,,to-read,,,,0,0
,Rivelazioni,Michael Crichton,,,8811667461,9788811667469,3,,Garzanti,Paperback,464,1996/02,,,,to-read,,to-read,,,,0,0
,Lucertola,Banana Yoshimoto,,,8807700662,9788807700668,3,,Feltrinelli,Paperback,128,1995/11/21,,,,to-read,,to-read,,,,0,0
,La città della gioia,Dominique Lapierre,,,8804408057,9788804408055,,,Mondadori (I Miti),Paperback,488,1995/08/01,,,,to-read,,to-read,,,,0,0
,Lo Zingarelli 2004,Nicola Zingarelli,,,8808154785,9788808154781,,,Zanichelli,Hardcover,2176,2003/08,,,,to-read,,to-read,,,,0,0
,Il Boch,Raoul Boch,,,8808097358,9788808097354,,,Zanichelli,Others,2176,2000/06/01,,,,to-read,,to-read,,,,0,0
,Miti e leggende dell'Amazzonia,Tersilla Gatto Chanu,,,888183216X,9788881832163,,,Newton Compton Editori,Paperback,320,1996/07,,,,to-read,,to-read,,,,0,0
,Corpi da reato,James Ellroy,,,8846202198,9788846202192,,,RL Libri,Mass Market Paperback,272,2002/01,,,,to-read,,to-read,,,,0,0
,La grande fuga dell'Ottobre Rosso,Tom Clancy,,,8846200101,9788846200105,,,RL Libri - Superpocket 11,Mass Market Paperback,597,1997/03/01,,,,to-read,,to-read,,,,0,0
,Op-Center,Tom Clancy,,,8846200284,9788846200280,,,RL Libri,Others,360,1997/08,,,,to-read,,to-read,,,,0,0
,Le nebbie di Avalon,Marion Zimmer Bradley,,,8846200144,9788846200143,,,RL Libri,Mass Market Paperback,760,1997/06,,,,to-read,,to-read,,,,0,0
,L'orma del califfo,Wilbur Smith,,,884620039X,9788846200396,,,RL Libri,Paperback,420,1997/12,,,,to-read,,to-read,,,,0,0
,Paddy Clarke ah ah ah!,Roddy Doyle,,,8846200624,9788846200624,,,RL Libri,Paperback,288,1998/08/01,,,,to-read,,to-read,,,,0,0
,La signora di Avalon,Marion Zimmer Bradley,,,8846202112,9788846202116,,,RL Libri,Others,563,2002/01,,,,to-read,,to-read,,,,0,0
,La mummia,Anne Rice,,,8846202929,9788846202925,,,RL Libri,Mass Market Paperback,480,2003/08,,,,to-read,,to-read,,,,0,0
,Il mastino dei Baskerville,Arthur Conan Doyle,,,8804127899,9788804127895,4,,Mondadori,Paperback,206,1982/01,,,,to-read,,to-read,,,,0,0
,L'uomo della pioggia,John Grisham,,,8804417501,9788804417507,3,,Mondadori,Mass Market Paperback,534,1996/03,,,,to-read,,to-read,,,,0,0
,Sulla rotta degli squali,Wilbur Smith,,,8804408065,9788804408062,3,,Mondadori,Others,438,1995/07/01,,,,to-read,,to-read,,,,0,0
,Il terzo gemello,Ken Follett,,,8804436158,9788804436157,,,Mondadori (I Miti),Paperback,511,1997/08/01,,,,to-read,,to-read,,,,0,0
,Il giorno dello sciacallo,Frederick Forsyth,,,8804409800,9788804409809,3,,Mondadori,Mass Market Paperback,493,1997/01,,,,to-read,,to-read,,,,0,0
,L'ospite di Dracula,Bram Stoker,,,8879831690,9788879831697,3,,Newton Compton Editori,Mass Market Paperback,100,1995/01/01,,,,to-read,,to-read,,,,0,0
,L'orrore del mare,William H. Hodgson,,,8879832018,9788879832014,3,,Newton Compton Editori,Mass Market Paperback,100,1995/01/01,,,,to-read,,to-read,,,,0,0
,Intervista col vampiro,Anne Rice,,,8878198684,9788878198685,4,,TEA,Paperback,361,1995/07/06,,,,to-read,,to-read,,,,0,0
,Il profumo,Patrick Süskind,,,8846200136,9788846200136,3,,SuperPocket,Others,259,1997/01/01,,,,to-read,,to-read,,,,0,0
,A sangue freddo,Truman Capote,,,8811683114,9788811683117,4,,Garzanti,Hardcover,391,2005/06/30,,,,to-read,,to-read,,,,0,0
,Infernalia,Clive Barker,,,8845216004,9788845216008,4,,Bompiani (Grandi Tascabili),Paperback,222,1990/06/01,,,,to-read,,to-read,,,,0,0
,Guida galattica per gli autostoppisti,Douglas Adams,,,8804413530,9788804413530,5,,Mondadori,Paperback,214,1995/10,,,,to-read,,to-read,,,,0,0
,Le pietre magiche di Shannara,Terry Brooks,,,8804378328,9788804378327,4,,Mondadori (Oscar Bestsellers),Paperback,504,1994/01/25,,,,to-read,,to-read,,,,0,0
,Stregoneria,Terry Pratchett,,,8878186945,9788878186941,4,,TEA,Paperback,226,2002/09/06,,,,to-read,,to-read,,,,0,0
,Il buio oltre la siepe,Harper Lee,,,880780459X,9788807804595,5,,Feltrinelli,Paperback,292,2008/12/01,,,,to-read,,to-read,,,,0,0
,L'arte della magia,Terry Pratchett,,,8878182680,9788878182684,4,,TEA,Paperback,172,2000/03/10,,,,to-read,,to-read,,,,0,0
,La città del terrore,Micheal A. Stackpole,,,8804315520,9788804315520,3,,Mondadori,Mass Market Paperback,117,1988/11/01,,,,to-read,,to-read,,,,0,0
,Conan il ragazzo del futuro,Alexander Key,,,8887497044,9788887497045,3,,Kappa Edizioni,Paperback,192,1999/01/01,,,,to-read,,to-read,,,,0,0
,L.A. Confidential,James Ellroy,,,8804451394,9788804451396,5,,Mondadori,Paperback,508,1998/02/01,,,,to-read,,to-read,,,,0,0
,Fuga dal Natale,John Grisham,,,8804524006,9788804524007,3,,Mondadori,Paperback,153,2003/12/01,,,,to-read,,to-read,,,,0,0
,Intensity,Dean R. Koontz,,,8804436123,9788804436126,3,,"Mondadori (I miti, 84)",Mass Market Paperback,377,1997/01/01,,,,to-read,,to-read,,,,0,0
,Spiral,Koji Suzuki,,,8842913316,9788842913313,3,,Nord,Hardcover,349,2004/06/17,,,,to-read,,to-read,,,,0,0
,L'arte di amare,Erich Fromm,,,8804400110,9788804400110,3,,Mondadori,Others,,1995/06,,,,to-read,,to-read,,,,0,0
,Zodiac,Robert Graysmith,,,1845765311,9781845765316,4,,Titan Books Ltd,Paperback,384,2007/03/23,,,,read,,read,,,,1,1
,"Che pasticcio, Bridget Jones!",Helen Fielding,,,8846201884,9788846201881,3,,RL Libri,Others,400,2001/07/01,,,,to-read,,to-read,,,,0,0
,Una spada in vendita. La taverna del rospo blu.,James Wilson,,,8804320028,9788804320029,2,,Mondadori,Mass Market Paperback,143,1989/01/01,,,,to-read,,to-read,,,,0,0
,Il socio,John Grisham,,,8804407824,9788804407829,3,,Mondadori,Others,511,1995/06/01,,,,to-read,,to-read,,,,0,0
,Il settimo papiro,Wilbur Smith,,,8846203089,9788846203083,,,RL Libri,Others,560,2004/01/01,,,,to-read,,to-read,,,,0,0
,I denti della tigre,Tom Clancy,,,8846208145,9788846208149,,,RL Libri,Others,460,2005/09/06,,,,to-read,,to-read,,,,0,0
,"Miti, fiabe e leggende della Transilvania",,,,8881833263,9788881833269,,,Newton Compton Editori,Others,192,1996/08,,,,to-read,,to-read,,,,0,0
,Fiabe e leggende della Cina,,,,8881835827,9788881835829,,,Newton Compton Editori,Paperback,290,1997/12,,,,to-read,,to-read,,,,0,0
