ISBN,Title,Subtitle,Author,Format,Number of pages,Publisher,Date of publication,Private notes,Comment Title,Comment Content,Reading status,Vote,Tags
9788811668602,Sfera,,Michael Crichton,Mass Market Paperback,382,Garzanti,1991-03-xx,,,,,3,
9788804478584,Rose Madder,,Stephen King,Mass Market Paperback,590,Mondadori,2000-01-xx,,,,,,
9788846203434,Punto critico,,Michael Crichton,Others,460,RL Libri,2004-09,,,,,3,
9788846203106,La stanza degli orrori,,"Douglas Preston, Lincoln Child",Others,480,RL Libri,2004-01,,,,,,
9788806132392,David Copperfield,,Charles Dickens,Paperback,891,Einaudi,1993-12,,,,,,
,Il dio del fiume,,Wilbur Smith,Hardcover,586,Mondolibri,2003-04-01,,,,,,
9783125371200,Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,Mass Market Paperback,93,Klett,2008-02-20,,,,,,
,La Gerusalemme liberata,,Torquato Tasso,Paperback,,Garzanti,1965-01-01,,,,,,
,Nascita del Superuomo,Urania 62,Theodore Sturgeon,Paperback,,A. Mondadori (Urania),1954-11-20,,,,,,
,L'innovazione tecnoludica,L'era dei videogiochi simbolici (1958-1984),Matteo Bittanti,Paperback,240,Jackson Libri,1999-xx-xx,,,,,,
,Io uccido,,Giorgio Faletti,Hardcover,682,Mondolibri,2004-09-01,,,,,,
,Preda,,Michael Crichton,Hardcover,466,Mondolibri,2003-06-01,,,,,3,
,Alice nel paese delle meraviglie e nello specchio,,Lewis Carroll,Hardcover,307,Club degli Editori,1970-11-01,,,,,,
,Uscita per l'inferno,,Stephen King,Hardcover,326,Mondolibri,2006-01-01,,,,,,
,La Estela de los Soles o Calendario Azteca,,Fernando Díaz Infante,Paperback,163,Panorama,1987-01-01,,,,,,
,Blaze,,Stephen King,Hardcover,364,Mondolibri,2007-12-01,,,,,,
9788804494065,Il trono di spade,Le cronache del ghiaccio e del fuoco - Vol. 1 (di 12),George R.R. Martin,Paperback,444,Mondadori (Oscar Bestsellers 1145),2001-07-17,,,,,2,
9781408814000,True Grit,Film Tie-in Edition,Charles Portis,Paperback,216,Bloomsbury Publishing PLC,2010-12-01,,,,Finished on 2011-04-08,5,
9788834711606,Echi perduti,,Joe R. Lansdale,Hardcover,406,Fanucci,2006-01-01,,,,Finished on 2007-12-14,3,
,diccionario ritual de voces Nahuas,,Adela Fernàndez,Paperback,,Panorama Editorial,1985-04-01,,,,,3,
9788845227370,Crash,,James G. Ballard,Mass Market Paperback,258,Bompiani,1996-07,,,,,3,
9788811666905,Congo,,Michael Crichton,Paperback,372,Garzanti,1985-01,,,,,3,
9788820017712,Guerre Stellari: Sfida alla Nuova Repubblica,,Timothy Zahn,Paperback,396,Sperling & Kupfer,1994-04-xx,,,,,3,
9788820019853,Guerre stellari: L'ultima missione,,Timothy Zahn,Paperback,410,Sperling & Kupfer,1995-04-xx,,,,,3,
9788820015442,Guerre Stellari: L'erede dell'Impero,,Timothy Zahn,Paperback,400,Sperling & Kupfer,1993-09-xx,,,,,3,
9788804563525,I guardiani della notte,,Sergej Luk'janenko,Paperback,493,Mondadori,2007-02-13,,,,Finished on 2009-02-18,3,
9788806173999,Underworld,,Don DeLillo,Paperback,886,Einaudi,2005-03-29,,,,,3,
9788834705643,Star Trek: Invasione - Libro II,TNG: L'esercito della paura,"Kristine K. Rusch, Dean W. Smith",Others,252,Fanucci,1997-01-01,,,,,3,
9788834705650,Star Trek: Invasione - Libro III,DS9: La furia del nemico,L. A. Graf,Paperback,413,Fanucci,1997-01-01,,,,,3,
9788834705667,Star Trek: Invasione - Libro IV,VOY: La sfida finale,D. A. Hugh,Others,315,Fanucci,1997-01,,,,,3,
9788807812804,N.P.,,Banana Yoshimoto,Paperback,168,Feltrinelli,2007-06-04,,,,,3,
9788842903772,Neuromante,Cosmo Oro 80,William Gibson,Paperback,261,Nord,1986-10-01,,,,,3,
9788817114790,Senza rimorso,,Tom Clancy,Others,726,Rizzoli,1995-05-24,,,,,3,
9788834708873,Maneggiare con cura,Antologia di racconti,Joe R. Lansdale,Paperback,346,Fanucci,2004-01-01,,,,,3,
9788806118853,Jude l'oscuro,,Thomas Hardy,Others,446,Einaudi,1997-01-01,,,,,3,
9788845230875,L'ultima spiaggia,,Alex Garland,Others,398,Bompiani,1997-07-01,,,,,3,
9780345430359,Judgement Day,,Jane Jensen,Paperback,512,Random House USA Inc,2002-03-01,,,,,3,
9788879830973,La casa stregata,,H. P. Lovecraft,Mass Market Paperback,95,Newton Compton,1993-01-xx,,,,,3,
9788871226040,Lei,,H. Rider Haggard,Paperback,,Demetra s.r.l,1995-01-01,,,,,3,
9788804536529,L'allenatore,,John Grisham,Paperback,149,Mondadori,2004-08-01,,,,,3,
9780007231768,Londonstani,,Gautam Malkani,Paperback,384,HarperCollins Publishers,2007-04-02,,,,Finished on 2008-07,3,
9788850220410,Simon's cat,,Simon Tofield,Hardcover,260,TEA,2009-10-22,,,,,4,
9788806174491,Le correzioni,,Jonathan Franzen,Paperback,604,Einaudi,2005-03-21,,,,Finished on 2010-01-28,4,
9780330485388,The Lovely Bones,,Alice Sebold,Paperback,256,Pan Macmillan,2003-05-03,,,,Finished on 2010-02-16,3,
9782747046152,"Dofus, Tome 1",Les vents d'émeraude,Halden,Paperback,395,Bayard jeunesse,2013-10-xx,,,,,,
9788876250583,Finché non cala il buio,,Charlaine Harris,Paperback,343,Fazi,2009-04-23,,,,Finished on 2010-03-06,3,
9788876381522,I Simpson,La vera storia della famiglia più importante del mondo,John Ortved,Paperback,312,Isbn Edizioni,2009-11-19,,,,,,
9780307472120,The Road,,Cormac McCarthy,Mass Market Paperback,304,Vintage,2008-11-18,,,,Finished on 2010-03-30,4,
9781439110003,The Bro Code,,"Matt Kuhn, Barney Stinson",Paperback,208,Fireside,2008-10-14,,,,,,
9780060254926,Where the Wild Things are,,Maurice Sendak,Hardcover,32,HarperCollins Publishers Inc,2006-06-03,,,,,,
9788845210006,Carrie,,Stephen King,Mass Market Paperback,176,Bompiani,1984-01,,,,,4,
9781466598645,The Art of Game Design,A Book of Lenses,Jesse Schell,Paperback,555,CRC Press,2015-xx-xx,,,"Ricco, denso, intelligente e pieno di spunti interessanti. Una lettura importante per chiunque ami i videogiochi e voglia saperne di più sulla loro creazione e sui loro meccanismi, anche se chiaramente è diretto soprattutto a chi vuole lavorare con essi.",Finished on 2015-08-16,5,
9781600376375,Return of the Gold,The Journey of Jerry Colangelo and the Redeem Team,Dan Bickley,Paperback,204,Morgan James,2009-01-01,,,,,,
9781466886421,What Video Games Have to Teach Us About Learning and Literacy,,James Paul Gee,eBook,249,Palgrave Macmillan,2007-xx-xx,,,"(Titolo italiano: Come un videogioco)
I principi di apprendimento che si ritrovano perfettamente funzionanti all'interno dei videogiochi analizzati a fondo e reinterpretati nell'ottica di come potrebbero essere applicati a scuola. Su alcuni aspetti mostra un po' i suoi dieci anni, ma rimane un libro interessantissimo e penso comprensibile anche per chi di videogiochi non capisce una fava. ",Finished on 2017-02-18,5,
9781429943185,Pirate Cinema,,Cory Doctorow,eBook,368,Tor Books,2012-10-02,,,,,,Kindle
9781597802376,Pump Six and Other Stories,,Paolo Bacigalupi,eBook,248,Night Shade Books[Start],2008-02-01,,,,,,Kindle
9780857660565,Zoo City,,Lauren Beukes,eBook,416,Angry Robot,2010-01-01,,,,,,Kindle
9780007242009,Magic for Beginners,,Kelly Link,Paperback,304,HarperCollins Publishers,2007-02-05,,,,,,Kindle
9781594743344,Pride and Prejudice and Zombies,The Classic Regency Romance - Now With Ultraviolent Zombie Mayhem!,"Seth Grahame-Smith, Jane Austen",Paperback,320,Quirk Books,2009-04-15,,,,Finished on 2009-09-11,3,
9788879834049,Poesie d'amore,2 volumi,"Pablo Neruda, Hermann Hesse",Boxset,400,Newton Compton (Grandi Tascabili Newton),1992-01-01,,,,,,
9788873059271,Io sono un gatto,,Natsume Soseki,Paperback,510,Neri Pozza,2009-09-03,,,,Finished on 2010-06-30,4,
9788878245730,Scheletri,,Stephen King,Paperback,560,Sperling & Kupfer,1996-08,,,,,3,
9788854117099,"Tutti i romanzi, i racconti, pensieri e aforismi","America - Il processo - Il castello - Racconti pubblicati dall’autore - Racconti pubblicati frammentariamente - Racconti postumi - Considerazioni sul peccato, il dolore, la speranza e la vera via - Gli otto quaderni in ottavo - Paralipomeni",Franz Kafka,Paperback,941,Newton Compton,2010-01-14,,,,,,
9788862561556,La scienza di Mondo Disco,,"Jack Cohen, Ian Stewart, Terry Pratchett",Paperback,462,Salani,2010-02-18,,,,,,
9788874244775,Il caso Genchi,Storia di un uomo in balia dello Stato,Edoardo Montolli,Paperback,983,Aliberti,2009-12-03,,,,,,
9781845134747,If Chins Could Kill!,Confessions of a B movie actor,Bruce Campbell,Mass Market Paperback,342,Aurum,2009-01-01,,,,Finished on 2010-08-04,4,
9780141010007,Dogs and Demons,The Fall of Modern Japan,Alex Kerr,Paperback,448,Penguin Books Ltd,2002-02-16,,,,Finished on 2010-08-13,4,
9780765325037,Dead Space: Martyr,,B. K. Evenson,Paperback,416,Tor Books,2010-01-01,,,,Finished on 2010-09-10,2,
9788806172763,Storie di animali e altri viventi,,Alberto Asor Rosa,Paperback,173,Einaudi,2005-02-08,,,,Finished on 2010-09-02,4,
9788879720175,Viaggio al termine della notte,,Louis-Ferdinand Céline,Paperback,575,Corbaccio,1992-06-03,,,,,,
9780679761068,The Master of Go,(Vintage International),Yasunari Kawabata,Paperback,208,Vintage,1996-05-28,,,,Finished on 2010-10-07,5,
9781439134191,Invasion,Book One of the Secret World Chronicle,Mercedes Lackey,Others,448,Baen Books,2011-03-01,,,,Finished on 2013-10-10,3,Kindle
9780099549482,To Kill a Mockingbird,,Harper Lee,Paperback,320,Cornerstone,2010-06-24,,,,,,
9780345453747,The Ultimate Hitchhiker's Guide to the Galaxy,,Douglas Adams,Paperback,832,Del Rey,2002-04-30,,,,,,
9781416553656,Born Standing Up,A Comic's Life,Steve Martin,Softcover,224,Scribner,2008-09-02,,,,Finished on 2011-02-02,4,
9780575089389,Living Dead In Dallas,A True Blood Novel - book 2,Charlaine Harris,Paperback,279,Gollancz,xxxx-xx-xx,,,,Finished on 2011-01-30,2,
9780330510943,Blood Meridian,"or, The Evening Redness in the West",Cormac McCarthy,Paperback,352,Picador,2010-01-01,,,,,,
9782501119894,Une journée Montessori,Organisez votre quotidien pour révéler les super pouvoirs de votre enfant !,Audrey Zucchi,Paperback,352,Marabout,2017-01-xx,,,,,,
9780345511768,The Book of Basketball,The NBA According to the Sports Guy,Bill Simmons,Hardcover,736,ESPN Video,2009-10-27,,,,Finished on 2011-01-16,5,
9788845015182,Il manuale del giovane naturalista,,Liliana Pizzorni,Hardcover,192,Fabbri,1980-01,,,,,4,
,50 Masterpieces of Japanese Art,from the Tokyo National Collection,AA. VV.,Paperback,127,Tokyo Bijutsu,,,,,,4,
9788871796260,Giappone. Potere e splendore 1568-1868,"Catalogo della mostra (Milano, 7 dicembre 2009-7 marzo 2010)",,Paperback,382,24 Ore Cultura,2009-12-10,,,,,4,
9788820219345,Shunga,Arte ed eros nel Giappone dei Tokugawa,,Paperback,176,Mazzotta,2009-11-12,,,,,4,
9788834716519,Devil Red,,Joe R. Lansdale,Paperback,283,Fanucci,2010-09-30,,,,Finished on 2011-01-17,3,
9780345495709,Can I Keep My Jersey?,,"Shirley, Paul and Klosterman",Paperback,336,Random House USA Inc,2008-03-25,,,,Finished on 2011-05-07,4,
9788846200044,A volte ritornano,,Stephen King,Mass Market Paperback,384,RL Libri,1997-03,,,,,4,
9788820022501,L'uomo in fuga,,Stephen King,Hardcover,240,Sperling & Kupfer,1997-09-02,,,,,3,
9780316056861,Bossypants,,Tina Fey,Hardcover,288,"Little, Brown & Company",2011-04-05,,,,,,
9788874966059,Saturday night live,,"James A. Miller, Tom Shales",Paperback,655,Kowalski,2004-10-29,,,,,3,
9780307268402,Conversations with Scorsese,,Richard Schickel,Hardcover,448,Alfred A. Knopf,2011-04-01,,,,,,
9780143119234,Big Sur,(Penguin Ink),Jack Kerouac,Paperback,224,Penguin Books,2011-04-26,,,,,,
9780671688776,Season on the Brink,,John Feinstein,Softcover,352,Simon & Schuster,1989-11-15,,,,,,
9781933060132,Now I Can Die in Peace,"How ESPN's Sports Guy Found Salvation, with a Little Help from Nomar, Pedro, Shawshank, and the 2004 Red Sox",Bill Simmons,Paperback,384,ESPN Books,2006-09-05,,,,,,
9780810982499,The art of Osamu Tezuka,god of manga,Helen McCarthy,Hardcover,272,Harry N. Abrams,2009-10-01,,,,,,
9780142000663,The Grapes of Wrath,,John Steinbeck,Paperback,455,Penguin Putnam Inc,2009-09-01,,,,,,
9780578082950,Entombed in Alcatraz,,Robert Victor Luke,Paperback,126,Robert Victor Luke,2011-01-01,,,,,,
9781401308810,Sacred Hoops,Spiritual Lessons of a Hardwood Warrior,"Hugh Delehanty, Phil Jackson",Paperback,240,Hyperion,2006-10-17,,,,,,
9780743284974,Pistol,The Life of Pete Maravich,Mark Kriegel,Hardcover,400,Free Press,2007-02-06,,,,,,
9780060817084,Marley & Me,Life and Love with the World's Worst Dog,John Grogan,Hardcover,291,William Morrow & Company,2005-10-18,,,"Sul tema sono vittima facile, però era da un pezzo che un libro non mi faceva ridere in questa maniera e sudare gli occhi così tanto. Bello.",Finished on 2016-10-31,5,
9788842430469,Il fu Mattia Pascal,,Luigi Pirandello,Others,384,Mondadori Bruno Scolastica,1991-01-01,,,,,4,
9788877827029,Harry Potter e la pietra filosofale,,J. K. Rowling,Hardcover,293,Salani,1998-01-01,,,,,3,
9788874711062,Il castello in aria,"Castle series, volume 2",Diana Wynne Jones,Paperback,202,Kappa Edizioni,2007-01,,,,,,
9788874710959,Il castello errante di Howl,,Diana Wynne Jones,Paperback,245,Kappa Edizioni,2005-07-28,,,,,,
9788804593942,Nel paese delle creature selvagge. La storia con le immagini del film,,,Paperback,48,Mondadori,2009-10-13,,,,,,
9780316329385,Honky Tonk Samurai,,Joe R. Lansdale,eBook,340,Mulholland,2016-xx-xx,,,"Le vette delle avventure migliori di Hap e Leo rimangono lontane ma è sempre una lettura gradevolissima e nel complesso l'ho trovato più riuscito dei due o tre precedenti. Inoltre, tutta la faccenda di Chance e il finale sono roba da occhi sudati e malinconia maschia scrutando il tramonto con intensità. Insomma, bello. ",Finished on 2016-04-28,4,
9788804436133,48 poesie,,Fernando Pessoa,Paperback,64,"Arnoldo Mondadori (I miti poesia, 47)",1997-11-01,,,,,,
9788807702136,La guerra civile fredda,,Daniele Luttazzi,Paperback,238,Feltrinelli,2009-06-12,,,,,,
9788879830218,Dracula,,Bram Stoker,Mass Market Paperback,336,Newton Compton Editori,1993-01,,,,,5,
9788856501803,Liberazione animale,Il manifesto di un movimento diffuso in tutto il mondo,Peter Singer,Paperback,308,Il Saggiatore,2010-04-22,,,,,,
9788817026314,La mia eredità sono io,Pagine da un secolo,Indro Montanelli,Paperback,644,Rizzoli,2008-11-12,,,,,,
9788820009823,La metà oscura,,Stephen King,Hardcover,480,Sperling & Kupfer,1992-01-07,,,,,3,
9788878244184,L'incendiaria,,Stephen King,Mass Market Paperback,416,Sperling & Kupfer,1994-06-14,,,,,3,
9788878240308,Pet Sematary,,Stephen King,Mass Market Paperback,424,Sperling & Kupfer,1989-03-13,,,,,3,
9788820016685,Dolores Claiborne,,Stephen King,Hardcover,288,Sperling & Kupfer,1994-01-xx,,,,,3,
9780740771798,Roger Ebert's Four-Star Reviews 1967-2007,,Roger Ebert,Paperback,944,Andrews McMeel Publishing,2008-02-01,,,,,5,
,L'acchiappasogni,SCHEDA DOPPIA,Stephen King,Hardcover,,Mondolibri,2001-11-01,,,,,,
,Fiabe e leggende della Val di Fassa,,De Rossi Hugo,Paperback,250,Editrice Temi,1985-04-01,,,,,,
9788838916120,Giorno da cani,,Alicia Gimenez-Bartlett,Paperback,416,Sellerio Editore Palermo,2000-06-23,,,,,,
,Il richiamo di Cthulhu,,H. P. Lovecraft,Paperback,,Hobby & Work,1996-12-01,,,,,,
9788879531719,Scudetti col verme,"1984-85 (Verona), 1986-87 (Napoli) e 1990-91 (Sampdoria): tre campionati di serie A al di sotto di ogni sospetto",Alessandro Arrighi,Paperback,187,Kaos,2007-01-31,,,,,,
9788879400213,John Carpenter,La visione oltre l'orrore,Giuseppe Gariazzo,Paperback,160,Stefano Sorbini Editore,1995-02-01,,,,,,
9788879400206,David Cronenberg,Dal cinema della mutazione all'horror esistenziale,Fabrizio Liberti,Paperback,160,Stefano Sorbini Editore,1995-03-01,,,,,,
9788886883061,Kathryn Bigelow,Lo sguardo dentro (Sentieri selvaggi),,Others,160,Stefano Sorbini editore,1997-01-01,,,,,,
9788880332312,Michael Mann,,Pier Maria Bocchi,Paperback,140,Il Castoro,2002-07-01,,,,,,
9788880331407,Joel e Ethan Coen,,Vincenzo Buccheri,Paperback,160,Il Castoro,1999-03-01,,,,,,
,Enciclopedia mondiale del fumetto,,"Maurice Horn, Luciano Secchi",Hardcover,864,Editoriale Corno,1978-08-01,,,,,,
,I segreti della cucina Volume 2,,,Hardcover,479,Reader's Digest,1970-01-01,,,,,,
,I segreti della cucina Volume 1,,Il Resto del Carlino,Hardcover,224,Reader's Digest,1970-01-01,,,,,,
,130 spaghetti all'ultimo minuto,,Giò Pozzo,Paperback,96,Sale & Pepe,1993-06-01,,,,,,
,Riso & risotti,,"Barra Clelia, Tialiacos Cristina",Paperback,63,L'U,1998-12-01,,,,,,
9788876057588,100 grandi ricette per la pasta,Enciclopedia della cucina,M. Chiara Martinelli,Paperback,128,Gremese Editore,1993-08,,,,,,
,Cristoforo Colombo,La cucina del suo tempo,"Adriana Martinelli, Caterina Porcu Sanna",Hardcover,65,Edizioni RAI,1985-01-01,,,,,,
,I Documentari - Dolci,Guide pratiche - Cucinare,Lisa Biondi,Hardcover,64,De Agostini,1973-07-01,,,,,,
,I documentari - Verdure,Guide pratiche - Cucinare,Lisa Biondi,Hardcover,64,De Agostini,1973-06-01,,,,,,
,I documentari - Carni,Guide pratiche - Cucinare,Lisa Biondi,Hardcover,64,De Agostini,1970-01-01,,,,,,
,I documentari - Uova e pesci,Guide pratiche - Cucinare,Lisa Biondi,Hardcover,64,De Agostini,1969-12-01,,,,,,
,Orange Road 1,,Izumi Matsumoto,Paperback,128,Star Comics,1992-10-01,,,,,2,
9781841493060,Dante's Equation,,Jane Jensen,Paperback,704,Orbit,2004-08-05,,,,Finished on 2007-10-29,3,
,I difensori della Terra,Fanucci Futuro 34,Philip K. Dick,Paperback,288,Fanucci (Futuro. Biblioteca di Fantascienza),1977-11-01,,,,,,
9788834711323,In fondo alla palude,,Joe R. Lansdale,Paperback,319,Fanucci,2005-01-01,,,,,3,
9788877821577,La notte dei desideri,Ovvero il satanarchibugiardinfernalcolico Grog di Magog,Michael Ende,Hardcover,256,Salani,1990-10-09,,,,,3,
9788889164365,Pagati per giocare,Come far carriera nel mondo dei videogiochi e continuare a divertirsi,"Alice Rush, Bryan Stratton, David Hodgson",Paperback,263,Multiplayer Edizioni,2007-04-01,,,,Finished on 2007-11-12,3,
,I segreti della cucina Volume 3,,l resto del Carlino,Hardcover,719,Reader's Digest,1970-01-01,,,,,3,
,Dylan Dog GdR - Labirinti di Paura,Modulo di avventura per il GdR di Dylan Dog,"Marco Maggi, Nepitello Francesco, Enrico Pacciani",Paperback,60,DAS Production,1992-10-01,,,,,3,
9788804332015,Io speriamo che me la cavo,Sessanta temi di bambini napoletani,,Hardcover,144,Mondadori,1990-02-xx,,,,,3,
,La cucina italiana - Primi piatti,,La Cucina Italiana,Hardcover,320,Mondolibri,2005-01-01,,,,,3,
,Neon Genesis Evangelion Illustration Book,,Funatogawa Makoto,Paperback,98,Planet Manga,1998-12-01,,,,,3,
,Slam Dunk Illustration Book,,Takehiko Inoue,Others,106,Planet Manga,1999-04-01,,,,,3,
9784592731382,画集ベルセルク,,三浦 建太郎,Paperback,130,白泉社,1997-02-01,,,,,3,
9780345409805,"The Art of Star Wars, Episode IV - A New Hope",,Carol Titelman,Paperback,192,Del Rey,1997-01-14,,,,,4,
,Return of Nadia,,AA. VV.,Softcover,272,Gainax,,,,,,3,
9780553370300,Batman Returns,The Official Book of The,Michael Singer,Paperback,80,Bantam,1992-06-01,,,,,4,
,Grammatica italiana di base,,"Pietro Trifone, Massimo Palermo",Hardcover,334,Zanichelli - Mondolibri,2000-10-01,,,,,4,
9788804324744,Il grande libro del pesce,,Giuliana Bonomo,Others,320,Mondadori Electa,1989-11-06,,,,,,
9788883313981,Il mio primo database,,John V. Petersen,Others,320,Mondadori Informatica,2002-07,,,,,,
9788882901882,In cucina con Friends,,Amy L. Wilson,Hardcover,134,Franco Cosimo Panini,2000-12,,,,,,
9782845671317,Cuisine du Maroc,,C. Razika,Others,1,Tana,2003-05-22,,,,,,
,Incubo,,Wes Craven,Paperback,457,Piemme,2003-01-01,,,,,,
,Poesie,,Sexton Anne,Paperback,76,L'U Multimedia,1998-09-01,,,,,,
,Fiabe abruzzesi,,Cecilia Gatto Trocchi & Giacoma Limentani,Paperback,264,Mondadori,1982-06-01,,,,,,
,A.Vallardi,"Italiano-Francese, Francese-Italiano",G. Laurent,Paperback,,Garzanti,1989-08-01,,,,,,
9788876151750,Clausura,Le nuove testimoni dell'assoluto,Espedita Fisher,Paperback,260,Castelvecchi,2007-03-05,,,,,,
9788804436119,E l'alluce fu,Monologhi & Gag,Roberto Benigni,Paperback,190,Arnoldo Mondadori Editore,1996-01-01,,,,,,
,Perché la notte,Il Giallo Mondadori n. 2565,James Ellroy,Paperback,298,Arnoldo Mondadori Editore,1998-04-01,,,,,,
9788817210454,Attentato alla corte d'Inghilterra,,Tom Clancy,Others,544,Rizzoli,1998-02,,,,,3,
,Guerre Stellari - Il Cimitero di Alderaan,,Bill Slavicsek,Paperback,62,Stratelibri,1994-01-01,,,,,3,
,Dylan Dog GdR - Schermo dell'arbitro,,Alessandro Ivanoff,Paperback,,DAS Production,1991-10-01,,,,,4,
,Il Gioco di Ruolo di Dylan Dog,Libro delle regole & Libro delle avventure,"Alessandro Ivanoff, Roberto Chiavini, Jacopo Garuglieri, Fabrizio Biasiolo, Michele Gianni",Paperback,,DAS Production,1991-06-01,,,,,4,
,Guerre Stellari - Schermo del Game Master,,Bill Olmesdahl,Paperback,,Stratelibri,1993-11-01,,,,,4,
9788879835084,Il diavolo,,Alfonso Maria Di Nola,Others,416,Newton Compton Editori,1994-08,,,,,3,
,Guerre Stellari - Il Gioco di Ruolo,,Bill Smith,Paperback,180,Stratelibri,1993-06-01,,,,,4,
,Dylan Dog GdR - Attraverso le linee,Modulo di avventura per il GdR di Dylan Dog,Alessandro Ivanoff,Paperback,56,DAS Production,1992-02-01,,,,,3,
9788882880484,Vampiri: La Masquerade,,Hatch Robert,Hardcover,304,Twenty Five Edition,2002-01-01,,,,,4,
9788830421325,Jonathan Strange & il signor Norrell,,Susanna Clarke,Hardcover,887,Longanesi,2005-09-29,,,,,3,
9788845403347,Libro dei sogni,,Caterina Kolosimo,Others,,Sonzogno,1994-01,,,,,3,
9780880383684,"Marvel Super Heroes, Advanced Set/Game",(Marvel Super Heroes),Jeff Grubb,Hardcover,210,TSR,1986-07-01,,,,,3,
9788804371632,L'enciclopedia dei misteri,Martin Mystère,,Others,400,Mondadori,1994-01,,,,,3,
9780552143240,The Discworld Mapp,Being the Onlie True & Mostlie Accurate Mappe of the Fantastyk & Magical Dyscworlde,"Stephen Briggs, Terry Pratchett",Softcover,369,Corgi,1995-01-01,,,,,4,
,Almanacco italiano 1986,,AA. VV.,Paperback,,Giunti Marzocco,1985-01-01,,,,,4,
,Nouveau Petit Larousse Illustré,,AA. VV.,Hardcover,,Librairie Larousse Paris,2008-01-01,,,,,4,
9788811939597,Gatti,,Howard Loxton,Paperback,240,Vallardi A.,1989-06,,,,,3,
9788815109606,Introduzione alla storia contemporanea,,,Paperback,401,Il Mulino,2006-02-23,,,,,3,
,L'altra donna,I Classici del Giallo n. 823,Ed McBain,Others,236,Arnoldo Mondadori Editore,1998-07-01,,,,,,
9788871180380,Il libro dei fatti - 1997,,,Paperback,928,Adnkronos Libri,1997-01-01,,,,,3,
9788834710821,Il lato oscuro dell'anima,,Joe R. Lansdale,Paperback,287,Fanucci,2005-01-01,,,,,3,
,Il nominario,Origine e significato di 2000 nomi di persona,Stefano Benvenuti,Paperback,,Mondadori,1988-01-01,,,,,3,
,The truth is out there,La guida ufficiale a The X Files,Brian Lowry,Paperback,,,1996-01-01,,,,,1,
9788879660372,Aerosmith,Testi con traduzione a fronte,,Others,264,Arcana,2001-01-19,,,,,1,
9788871980058,Super English,"L'inglese per chi lo sa, per chi crede di saperlo, per chi vuole saperne di più",Renato Proni,Mass Market Paperback,256,SugarCo,1990-06,,,,,3,
,Dylan Dog GdR - Alta società,Modulo di avventura per il GdR di Dylan Dog,"Roberto Chiavini, Stefania D'Alterio, Jacopo Garuglieri",Paperback,47,DAS Production,1991-09-01,,,,,3,
9781560760870,Marvel Super Heroes,"Basic Set, Revised (Boxed)",Jeff Grubb,Hardcover,210,TSR,1991-05-01,,,,,3,
9788871001876,Mini Galateo,(3 volumi),Massimo Camola,Boxset,240,La Spiga-Meravigli,1991-01,,,,,3,
9788887497403,Enciclopedia dei mostri giapponesi,A-K,水木 しげる,Paperback,253,Kappa Edizioni,2004-02,,,,,4,
9788870638769,Lonely Planet - Giappone,,,Paperback,908,Lonely Planet Italia,2006-04-27,,,,,4,
9788817132213,Le prove d'intelligenza,,H.J. Eysenck,Paperback,229,Biblioteca Universale Rizzoli,1984-06-01,,,,,3,
9781843532774,"The Rough Guide to Tokyo, Third Edition",,"Simon Richmond, Jan Dodd",Paperback,272,Rough Guides,2005-03-21,,,,,5,
9781843532729,"The Rough Guide to Japan, Third Edition",,Neil Roland,Paperback,1056,Rough Guides,2005-01-27,,,,,5,
9781843534792,The Rough Guide to China 4,(Rough Guide Travel Guides),"Jeremy/ Foster, Simon/ Atiyah, David/ Lewis, Leffman, Simon Singh, Simon Foster, Jeremy Atiyah, Simon Lewis, David Leffman",Paperback,1272,Rough Guides,2005-11-21,,,,,5,
9788845248665,Il talento di Mr. Ripley,,Patricia Highsmith,Paperback,295,Bompiani,2001-07-04,,,,,3,
9788804472780,Guida galattica per gli autostoppisti,I Massimi della Fantascienza 41,Douglas Adams,Hardcover,650,Mondadori,2000-06-xx,,,,,5,
9780753814383,Savage Season,,Joe R. Lansdale,Paperback,320,Phoenix (an Imprint of The Orion Publishing Group Ltd ),2001-07-05,,,,,5,
9788811666882,A sangue freddo,,Truman Capote,Mass Market Paperback,396,Garzanti,1991-06,,,,,4,
9788879531542,Le corna del diavolo,Il Milan di Berlusconi,Carlo Petrini,Paperback,291,Kaos,2006-03-01,,,,,3,
9788874711215,Il Giappone a colpo d'occhio,Guida per viaggiatori curiosi,,Paperback,231,Kappa Edizioni,2006-09-14,,,,,4,
9788806172527,Il mambo degli orsi,,Joe R. Lansdale,Paperback,305,Einaudi,2004-10-26,,,,,4,
9781560760665,X-Terminate ,"(Marvel Super Heroes: Official Game Adventure, Msl1, Adventure, 6899)",Dale Henson,Paperback,210,TSR,1991-06-01,,,,,3,
9788842909996,La saga di Elric di Melniboné,,Michael Moorcock,Paperback,848,Nord (Narrativa Nord 98),1997-11-xx,,,,,3,
9788887318104,Werther,Dramma lirico in 4 atti e 5 quadri,"Edouard Blau, Paul Milliet, Georges Hartmann",Mass Market Paperback,52,Casa Musicale Sonzogno,2000-09,,,,,3,
9788496075085,Il giovane Holden,"La biblioteca di Repubblica - Novecento, 103",J.D. Salinger,Hardcover,238,Gruppo Editoriale L'Espresso,2002-01-01,,,,,3,
9788879838979,Poesie d'amore,,Pablo Neruda,Hardcover,208,Newton Compton Editori,1992-10,,,,,3,
