ISBN,Title,Subtitle,Author,Format,Number of pages,Publisher,Date of publication,Private notes,Comment Title,Comment Content,Reading status,Vote,Tags
9781913491635,"From Vultures to Vampires, vol. 1 (1995–2004)",25 Years of Copyright Chaos and Technology Triumphs,"Trevor Dickinson, David John Pleasance",Hardcover,368,Unicorn Publishing Group,2022-04-13,,,"From Vultures to Vampires racconta la storia del marchio Amiga negli anni successivi alla morte dell’azienda “originale” e tutte le innumerevoli vicissitudini legate ai tentativi di continuare a tenerlo in vita. Rispetto al precedente libro di Pleasance (Commodore - The Inside Story), costituisce una lettura meno appassionante, forse perché meno appassionante è la “storia” che viene raccontata e soprattutto perché per ampi tratti è tutto un elencare modelli, pezzi d’hardware, configurazioni e prodotti vari. Insomma, scorre via meno bene. Rimane comunque molto interessante, quantomeno per chi - come me - in quegli anni non ha minimamente seguito la scena. Se poi abbia molto da dire a chi invece era sul pezzo, francamente, non lo so. Ah, ho letto solo il primo volume, che va dal 1995 al 2004.",Finished on 2023-08-13,3.5,
9781782263111,The Patchwork Girl of Oz,,L. Frank Baum,Paperback,231,Sweet Cherry Publishing,2016-12-01,,,"La ragazza di pezza di Oz è il settimo libro della serie ed esce tre anni dopo che il precedente aveva posto fine alle vicende di Dorothy e compagni. Solo che bisogna pagare le bollette e quindi eccoci qua. Il libro è del 1913, eppure la formula è già chiaramente quella del “requel” contemporaneo, con nuovi personaggi da seguire che raccontano una storia inedita in un contesto noto e buttan lì pretesti e spiegoni per reintrodurre le figure a cui siamo affezionati. E, oh, funziona, tra l’altro infilando tematiche sorprendentemente moderne - in particolare tutto un bel discorso neanche troppo allegorico sul ruolo delle carceri che dovrebbero essere correttive e non punitive - e divertendo un sacco me e mia figlia con il suo turbinio incessante giochi di parole davvero stupidini. Bello.",Finished on 2023-08-12,4,
9781911344360,The Summer That Melted Everything,,Tiffany McDaniel,Paperback,310,Scribe,2017-xx-xx,,,"L'estate che sciolse ogni cosa m'è spuntato davanti un giorno qua mentre esploravamo la nuova libreria tutta piccina piccina coi proprietari simpatici e dai facciamo muovere l'economia e promuoviamo i negozi indipendenti comprando completamente a caso quindici libri da leggere durante le vacanze nonostante che ne siano già sedici in coda sullo scaffale e poi alla fine delle vacanze ne avremo letti quattro, dei quali uno era già iniziato, uno è un PDF da sette pagine e uno è il catalogo dell'Ikea. Sto romanzando, ma neanche troppo. Comunque, dicevo, m'è spuntato davanti nella sezione dei libri in lingua originale, aveva dei commenti prezzolati confortanti in copertina e m'è sembrato intrigante nelle premesse. Le premesse: un tizio di [cittadina della provincia statunitense negli anni Ottanta] mette un'inserzione sul quotidiano locale per chiedere al diavolo di andare a trovarlo e dopo qualche giorno arriva un ragazzino che sostiene di essere il diavolo.Ora, è una premessa che, oltre ad essere probabilmente un po' molestata da un sottoscritto che non aveva voglia di andare a verificare i dettagli perché il caldo lo sta sciogliendo tutto, c'ha un po' quell'aria da Stephen King. La provincia americana, le contraddizioni della società moderna, i tragici anni Ottanta reaganiani, i sensi di colpa che tracimano verso la disgrazia, un ragazzino al centro delle vicende racconta la storia tramite la sua voce narrante da adulto (alcolista e allo sfascio), un costante giocare sul dubbio fra ""c'è veramente un elemento fantastico/horror"" e ""ma che me stai a cojonà?"". A farmi pensare a King, poi, c'è anche il gran lavoro sulle caratterizzazioni, sui rapporti fra i personaggi, sul trascorrere due terzi di libro ad accumulare materiale che poi verrà fatto esplodere nel finale. Di contro, a staccarsi da King e trovare una sua identità, nel bene e nel male, c'è forse lo stile di scrittura un po' barocco e pretenzioso, che sulle prime mi ha abbastanza respinto, ma non a sufficienza da farmi mollare, perché poi il racconto rimane intrigante e il mistero viene maneggiato bene: diventa chiaro piuttosto in fretta che la natura della faccenda non è sovrannaturale, ma il senso di dubbio rimane comunque lì appeso fino in fondo e tiene alta l'attenzione. In più, la parte finale è un tripudio tragico di emozioni fortissime, super telefonata in quel che racconta e nonostante questo avvincente e straziante. C'ha un paio di momenti che mi han lasciato senza fiato, con gli occhi gonfi, e non mi vengono in mente molti esempi di libri che m'abbiano fatto questo effetto dirompente. Poi non so cosa questo dica dei libri che leggo di solito, del libro in questione e/o della mia crisi di mezz'età, ma insomma.Ah, a margine, il parallelo con King è tanto ovvio e banale quanto secondo me inevitabile, però - lo dico per chi magari è incuriosito ma non ama cagarsi sotto leggendo romanzi - in realtà i toni non sono mai da horror e tutto sommato neanche da thriller. Ci sono orrori, ma sono più tematici che altro, al di là di una parte finale che certamente del disagio addosso te lo lascia.",Finished on 2023-08-02,4,
9788811008040,Tutto nella norma,,Gaia Spizzichino,Paperback,288,Garzanti,2023-03-14,,,,,,
9788804764878,Fa bene o fa male? Manuale di autodifesa alimentare,,Dario Bressanini,Hardcover,328,Mondadori,2023-05-02,,,,,,
9788857566429,Calibano e la strega,"Le donne, il corpo e l'accumulazione originaria",Silvia Federici,Paperback,343,Mimesis,2020-07-09,,,,,,
9781782263104,The Emerald City of Oz,,L. Frank Baum,Paperback,228,Sweet Cherry Publishing,2016-12-01,,,"L. Frank Baum ha scritto La città di smeraldo di Oz, sesto libro della serie, pensandolo come il libro che avrebbe dovuto chiudere la faccenda. E in effetti si respira un po' quell’aria da Avengers: Infinity War/Endgame, con l’esercito delle peggio creature di Oz e dintorni che sta scavando un tunnel per raggiungere la città e piantare un casino che metà basta. Il Thanos della situazione è quell’infame del re Niomo, già visto e umiliato qualche libro prima, che cerca di mettere assieme i Sinistri Sei e si prepara all’assalto. La situazione è drammatica e ne viene fuori un bel senso di tensione crescente, seppur sempre smorzato dall’umorismo della serie e anche un po' dal fatto che mezzo libro è un continuo ritornare di personaggi accompagnati da spiegone per aiutare chi magari non ha letto tutti i precedenti. Ma insomma, ci si diverte, specie poi con un finale in cui Ozma la butta in quel posto a Niomo e compagni in stile Doctor Strange. E finisce tutto qui. #credici",Finished on 2023-06-18,4,
9780006753629,Paddington Marches on,,Michael Bond,Paperback,144,HarperCollins Publishers,1998-04-06,,,,,,
9780241984994,"Girl, Woman, Other",,Bernardine Evaristo,Paperback,464,Penguin Books,2020-03-xx,,,,,,
9782355221743,Réinventer l'amour,Comment le patriarcat sabote les relations hétérosexuelles,Mona Chollet,Paperback,255,Zones,2021-xx-xx,,,,,,
9780571338757,Milkman,,Anna Burns,Paperback,348,Faber & Faber,2018-xx-xx,,,,,,
9781595801050,Creating Q*bert,And Other Classic Video Arcade Games,Warren Davis,Hardcover,280,Santa Monica Press,2022-02-24,,,"Ho comprato il libro di Warren Davis al primo giorno di GDC, nel negozio della fiera, perché (1) mi attirava da un pezzo, c’avevo voglia, e (2) un paio di giorni dopo avrei dovuto intervistarlo e, certo, non avrei fatto in tempo a leggermelo tutto ma magari saltellando di qua e di là avrei trovato spunti interessanti di cui chiacchierare. Cosa che è effettivamente accaduta. Poi il libro l’ho letto tutto ed è una delizia, parla con la stessa voce gioviale e accattivante con cui parla lui di persona e racconta una valanga di aneddoti sparsi lungo tutta la sua carriera, che parte (più o meno) da Q*Bert ma va molto più in là. Bello.",Finished on 2023-04-16,4.5,
9780006753452,Paddington Abroad,,Michael Bond,Paperback,144,HarperCollins Publishers,1998-02-27,,,"Il quarto libro di Paddington scopre la narrazione orizzontale e, pur mantenendo una divisione in capitoli relativamente episodici, racconta un’unica storia, che è poi quella della prima vacanza all’estero per Paddington e famiglia acquisita. Meglio? Peggio? Non saprei. So però che ci siamo divertiti parecchio, anche perché la vacanza è in Francia, cosa che mi ha permesso di esibirmi in un improbabile inglese con accento francese quando davo voce ai personaggi “locali”.",Finished on 2023-05-01,4,
9781405257572,"The Magic Folk Collection: ""A Book of Pixie Stories"", ""The Book of Fairies"", ""The Book of Brownies""",,Enid Blyton,Paperback,528,Egmont Childrens Books,2011-04-04,,,"The Magic Folk Collection è una raccoltona di Enid Blyton che mette assieme tre volumi diversi in un unico tomo. I primi due, A Book of Pixie Stories e The Book of Fairies, sono antologie di storie dalla lunghezza variabile (mediamente più brevi nel primo e più lunghe nel secondo) dedicate a fate, folletti e creature magiche assortite. Le storie sono tantissime e chiaramente la qualità sale e scende, ma nel complesso è una lettura piacevole e che ci ha divertito, oltretutto per sua natura agile e modulare nell’adattarsi alle esigenze della serata. È stato per esempio ottimo che fosse il libro in corso quando, in serata sleepover, ne abbiamo letto una storia tutti assieme senza dover fare premesse di continuity. Il terzo libro, The Book of Brownies, è invece una lunga storia unica su più capitoli che racconta le vicende di tre folletti impegnati in un’avventura fuori di testa per rimediare ai danni fatti con le loro decisioni da sciamannati. Il cambio di paradigma ci sta benissimo, perché dopo aver letto i primi due libri ne hai le palle piene delle storielle brevi, e The Book of Brownies è proprio divertente (anche se va detto che ricicla un paio di situazioni dai libri precedenti). Ah, ho provato a far ricerche ma non ho proprio capito se siano disponibili in italiano. Boh?",Finished on 2023-03-17,4,
9780448479699,A Race Against Time,,Carolyn Keene,,160,Simon and Schuster,2012-04-24,,,,,,
9782253940920,Tant que le café est encore chaud,,Toshikazu Kawaguchi,Paperback,240,Livre de Poche,2022-07-14,,,,,,
9782371881419,La Légende Dreamcast,,,Hardcover,416,Editions Pix'n Love,2022-10-31,,,,,,
9788866324119,Storia di chi fugge e di chi resta. Tempo di mezzo,L'amica geniale vol. 3,Elena Ferrante,Paperback,382,E/O,2013-10-30,,,"Ho letto il secondo libro de L’amica geniale nel 2019 e m’aveva messo addosso una gran voglia di andare avanti. Quindi, giustamente, ho aspettato il 2023 per leggere il terzo. E che ci dobbiamo fare? Comunque, la cosa sorprendente è quanto mi sono trovato a casa pur non ricordandomi quasi nulla, al di là di qualche dettaglio sulle due protagoniste. Ho trovato proprio quel piacere della serialità migliore nel farti sentire a tuo agio e chi se ne frega se non hai più troppo presente chi siano Sarratore, i Solara e i Carracci. La confusione svanisce in fretta, Ferrante è bravissima a rinfrescarti la memoria con due parole mai forzate ogni volta che appare un personaggio e nel giro di qualche pagina sei di nuovo lì immerso a leggere questa storia che scorre via come acqua fresca. Ho una gran voglia di leggere il quarto volume, quindi lo farò nel 2027.",Finished on 2023-02-01,5,
9780500025932,Like a Hurricane,An Unofficial Oral History of Street Fighter II,Matt Leone,Hardcover,480,Thames & Hudson,2023-01-17,,,,,,
